Months;Ammonium
01/01/1996;0,253333
01/02/1996;0,218889
01/03/1996;0,242
01/04/1996;0,134545
01/05/1996;0,113333
01/06/1996;0,089
01/07/1996;0,104167
01/08/1996;0,103
01/09/1996;0,093636
01/10/1996;0,102
01/11/1996;0,09
01/12/1996;0,141111
01/01/1997;0,203333
01/02/1997;0,205
01/03/1997;0,13
01/04/1997;0,159091
01/05/1997;0,076
01/06/1997;0,11
01/07/1997;0,070833
01/08/1997;0,049
01/09/1997;0,092727
01/10/1997;0,084
01/11/1997;0,102
01/12/1997;0,158182
01/01/1998;0,118889
01/02/1998;0,155556
01/03/1998;0,102727
01/04/1998;0,091
01/05/1998;0,087
01/06/1998;0,056
01/07/1998;0,079231
01/08/1998;0,079091
01/09/1998;0,085833
01/10/1998;0,073636
01/11/1998;0,163636
01/12/1998;0,133333
01/01/1999;0,153636
01/02/1999;0,176364
01/03/1999;0,1275
01/04/1999;0,081818
01/05/1999;0,147273
01/06/1999;0,065385
01/07/1999;0,073333
01/08/1999;0,0525
01/09/1999;0,07
01/10/1999;0,08
01/11/1999;0,093636
01/12/1999;0,128333
01/01/2000;0,17
01/02/2000;0,153636
01/03/2000;0,12
01/04/2000;0,099091
01/05/2000;0,067143
01/06/2000;0,053636
01/07/2000;0,068182
01/08/2000;0,085455
01/09/2000;0,052727
01/10/2000;0,056923
01/11/2000;0,049231
01/12/2000;0,071111
01/01/2001;0,147378
01/02/2001;0,106184
01/03/2001;0,068585
01/04/2001;0,064729
01/05/2001;0,042039
01/06/2001;0,067165
01/07/2001;0,057
01/08/2001;0,044625
01/09/2001;0,062727
01/10/2001;0,053321
01/11/2001;0,092818
01/12/2001;0,111111
01/01/2002;0,176
01/02/2002;0,089909
01/03/2002;0,096
01/04/2002;0,050917
01/05/2002;0,033846
01/06/2002;0,049818
01/07/2002;0,035
01/08/2002;0,0569
01/09/2002;0,037523
01/10/2002;0,049692
01/11/2002;0,069827
01/12/2002;0,075125
01/01/2003;0,117727
01/02/2003;0,102364
01/03/2003;0,075846
01/04/2003;0,039142
01/05/2003;0,044299
01/06/2003;0,027665
01/07/2003;0,034691
01/08/2003;0,0474
01/09/2003;0,055192
01/10/2003;0,095429
01/11/2003;0,068562
01/12/2003;0,088477
01/01/2004;0,236333
01/02/2004;0,182267
01/03/2004;0,272619
01/04/2004;0,068867
01/05/2004;0,0876
01/06/2004;0,0672
01/07/2004;0,078133
01/08/2004;0,173278
01/09/2004;0,132294
01/10/2004;0,082333
01/11/2004;0,1085
01/12/2004;0,097385
01/01/2005;0,139867
01/02/2005;0,166333
01/03/2005;0,204294
01/04/2005;0,0944
01/05/2005;0,041071
01/06/2005;0,06
01/07/2005;0,1798
01/08/2005;0,158765
01/09/2005;0,212278
01/10/2005;0,024333
01/11/2005;0,040375
01/12/2005;0,065357
01/01/2006;0,098333
01/02/2006;0,1278
01/03/2006;0,176529
01/04/2006;0,0728
01/05/2006;0,033947
01/06/2006;0,031733
01/07/2006;0,019929
01/08/2006;0,034167
01/09/2006;0,026
01/10/2006;0,026111
01/11/2006;0,0396
01/12/2006;0,048833
01/01/2007;0,06985
01/02/2007;0,052333
01/03/2007;0,034944
01/04/2007;0,028476
01/05/2007;0,037167
01/06/2007;0,028722
01/07/2007;0,0295
01/08/2007;0,021381
01/09/2007;0,039333
01/10/2007;0,024227
01/11/2007;0,042722
01/12/2007;0,060333
01/01/2008;0,069476
01/02/2008;0,035333
01/03/2008;0,040619
01/04/2008;0,032722
01/05/2008;0,025333
01/06/2008;0,030222
01/07/2008;0,036476
01/08/2008;0,030667
01/09/2008;0,025474
01/10/2008;0,018833
01/11/2008;0,045222
01/12/2008;0,060133
01/01/2009;0,111
01/02/2009;0,1315
01/03/2009;0,093222
01/04/2009;0,026667
01/05/2009;0,032333
01/06/2009;0,029
01/07/2009;0,0276
01/08/2009;0,029111
01/09/2009;0,023889
01/10/2009;0,0255
01/11/2009;0,028556
01/12/2009;0,046733
01/01/2010;0,084611
01/02/2010;0,097667
01/03/2010;0,056389
01/04/2010;0,021353
01/05/2010;0,030955
01/06/2010;0,034952
01/07/2010;0,026316
01/08/2010;0,0225
01/09/2010;0,022611
01/10/2010;0,031313
01/11/2010;0,033913
01/12/2010;0,082923
01/01/2011;0,087421
01/02/2011;0,077368
01/03/2011;0,033263
01/04/2011;0,021053
01/05/2011;0,02756
01/06/2011;0,021368
01/07/2011;0,030316
01/08/2011;0,024105
01/09/2011;0,038263
01/10/2011;0,026
01/11/2011;0,02664
01/12/2011;0,05325
01/01/2012;0,080684
01/02/2012;0,123267
01/03/2012;0,046526
01/04/2012;0,031909
01/05/2012;0,021682
01/06/2012;0,032125
01/07/2012;0,032789
01/08/2012;0,024105
01/09/2012;0,027909
01/10/2012;0,026286
01/11/2012;0,032053
01/12/2012;0,072563
01/01/2013;0,073684
01/02/2013;0,083632
01/03/2013;0,042211
01/04/2013;0,0292
01/05/2013;0,030632
01/06/2013;0,042105
01/07/2013;0,018474
01/08/2013;0,018789
01/09/2013;0,029
01/10/2013;0,021632
01/11/2013;0,022895
01/12/2013;0,033437
01/01/2014;0,0375
01/02/2014;0,0265
01/03/2014;0,016333
01/04/2014;0,025526
01/05/2014;0,03075
01/06/2014;0,025125
01/07/2014;0,027316
01/08/2014;0,024625
01/09/2014;0,026474
01/10/2014;0,025625
01/11/2014;0,045867
01/12/2014;0,034846
01/01/2015;0,063688
01/02/2015;0,047438
01/03/2015;0,024313
01/04/2015;0,023063
01/05/2015;0,035813
01/06/2015;0,033111
01/07/2015;0,026533
01/08/2015;0,037063
01/09/2015;0,024412
01/10/2015;0,032556
01/11/2015;0,045895
01/12/2015;0,07475
01/01/2016;0,074071
01/02/2016;0,067438
01/03/2016;0,046111
01/04/2016;0,034929
01/05/2016;0,032278
01/06/2016;0,038625
01/07/2016;0,029063
01/08/2016;0,025158
01/09/2016;0,028692
01/10/2016;0,032222
01/11/2016;0,05275
01/12/2016;0,045789
01/01/2017;0,072833
01/02/2017;0,078438
01/03/2017;0,043938
01/04/2017;0,022813
01/05/2017;0,038
01/06/2017;0,034
01/07/2017;0,046615
01/08/2017;0,031222
01/09/2017;0,045875
01/10/2017;0,032474
01/11/2017;0,047125
01/12/2017;0,056563
